trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
75,0,75,0,115.1831443000001,116.18340040000021,116.18340040000021,up,1,0.32396319999998013,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
76,0,76,0,116.53351479999992,117.53386490000003,117.53386490000003,up,1,0.33482199999980367,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
77,0,77,0,117.8878950000003,118.88421930000004,118.90085399999998,up,0,0.25779279999960636,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
78,0,78,0,119.16768860000002,120.16798349999999,120.16798349999999,up,1,0.027206499999920197,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
79,0,79,0,120.21809230000008,121.21835400000009,121.21835400000009,up,1,0.10888769999974102,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
80,0,80,0,121.35177810000005,122.3522108000002,122.3522108000002,up,0,0.3350885999998354,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
81,0,81,0,122.71895649999988,123.71934499999998,123.71934499999998,up,0,0.26248809999970035,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
82,0,82,0,124.00286779999988,125.00316150000026,125.00316150000026,up,0,0.282253199999559,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
83,0,83,0,125.30332020000014,126.3036517999999,126.3036517999999,up,0,0.26575580000007903,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
84,0,84,0,126.58715710000024,127.58747679999988,127.58747679999988,up,0,0.22550809999984267,None,4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
85,0,85,0,127.83760359999997,128.83797679999998,128.83797679999998,up,1,0.27389119999998,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
86,0,86,0,129.13811910000004,130.13849170000003,130.13849170000003,up,1,0.26039259999970454,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
87,0,87,0,130.42189270000017,131.42229940000016,131.42229940000016,up,1,0.348916299999928,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
88,0,88,0,131.78907630000003,132.78946010000027,132.78946010000027,up,1,0.1983828999996149,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
89,0,89,0,133.0062283000002,134.00659730000007,134.00659730000007,up,0,0.2109600999997383,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
90,0,90,0,134.24008679999997,135.2403720000002,135.2403720000002,up,0,0.23423069999944346,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
91,0,91,0,135.50715480000008,136.50761250000005,136.50761250000005,up,0,0.22348569999985557,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
92,0,92,0,136.75761360000024,137.7580514000001,137.7580514000001,up,1,0.17615699999987555,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
93,0,93,0,137.95817780000016,138.95844949999992,138.95844949999992,up,1,0.11074099999996179,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
94,0,94,0,139.09182710000005,140.09234749999996,140.09234749999996,up,0,0.20857689999957074,None,3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
95,0,95,0,140.32565879999993,141.32620309999993,141.32620309999993,up,0,0.2214974999997139,None,4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
96,0,96,0,141.57621890000019,142.57649500000025,142.57649500000025,up,0,1.1947472999995625,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
97,0,97,0,143.79366930000015,144.79401450000023,144.79401450000023,up,0,0.3375922999998693,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
98,0,98,0,145.16091240000014,146.1612825000002,146.1612825000002,up,0,0.3627077000001009,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
99,0,99,0,146.54473450000023,147.54510140000002,147.54510140000002,up,1,0.32129519999944023,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
100,0,100,0,147.89531420000003,148.89553560000013,148.89553560000013,up,1,0.3203144999997676,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
101,0,101,0,149.2457905000001,150.24610780000012,150.24610780000012,down,0,0.10969539999950939,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
102,0,102,0,150.37948800000004,151.37993050000023,151.37993050000023,up,0,0.054519599999821367,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
103,0,103,0,151.46315929999992,152.46371420000014,152.46371420000014,up,1,0.19347249999964333,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
104,0,104,0,152.68062120000013,153.6807386999999,153.6807386999999,down,0,0.8367996999995739,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
105,0,105,0,154.54783810000026,155.54812140000013,155.54812140000013,down,1,0.03554459999941173,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
106,0,106,0,155.61479820000022,156.61522680000007,156.61522680000007,down,1,0.16031530000009298,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
107,0,107,0,156.7985593000003,157.79909530000032,157.79909530000032,down,1,0.20164089999980206,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
